ID,SOURCE_KEY,NAME,IMAGE_URL,URL,LANG,SOURCE_TYPE,LAUNCH_DATE,SORT_ORDER,BENCHMARK_SCORE,STATUS,LAST_UPDATED_TS,CREATED_ON,UPDATED_ON
25,themerkle,NullTx,https://images.cryptocompare.com/news/default/nulltx.png,https://nulltx.com/feed/,EN,RSS,,0,0,ACTIVE,1759310792,1657730129,1673068655
81,bitcoinsistemi,BitcoinSistemi,https://resources.cryptocompare.com/news/81/default.png,https://en.bitcoinsistemi.com/feed/,EN,RSS,,0,0,ACTIVE,1759310801,1692873798,1692873836
93,coinpaper,Coinpaper,https://resources.cryptocompare.com/news/93/default.png,https://coinpaper.com/newsfeed,EN,RSS,1646092800,0,0,ACTIVE,1759310810,1709283963,1709284009
62,finbold,Finbold,https://images.cryptocompare.com/news/default/finbold.png,https://finbold.com/category/cryptocurrency-news/feed/,EN,RSS,,0,0,ACTIVE,1759310805,1657730129,1673260010
102,financialtimes_crypto_,Financial Times (Crypto),https://resources.cryptocompare.com/news/102/default.png,https://www.ft.com/cryptofinance?format=rss,EN,RSS,1307318400,0,0,ACTIVE,1759310806,1719248005,1719248073
50,seekingalpha,Seeking Alpha,https://images.cryptocompare.com/news/default/seekingalpha.png,https://seekingalpha.com/feeds/cryptocompare/cryptos,EN,RSS,,0,0,ACTIVE,1759310794,1657730129,1673257636
77,coinotag,CoinOtag,https://resources.cryptocompare.com/news/77/default.png,https://en.coinotag.com/feed/,EN,RSS,,0,0,ACTIVE,1759306893,1686819961,1717748924
29,blokt,Blokt,https://images.cryptocompare.com/news/default/blokt.png,https://blokt.com/feed,EN,RSS,,0,0,ACTIVE,1759310801,1657730129,1673011530
52,cryptonews,cryptonews,https://images.cryptocompare.com/news/default/cryptonews.png,https://cryptonews.com/news/feed/,EN,RSS,,0,0,ACTIVE,1759310789,1657730129,1680604053
104,bitzo,Bitzo,https://resources.cryptocompare.com/news/104/default.png,https://bitzo.com/feed,EN,RSS,1520899200,0,0,ACTIVE,1759310796,1736502919,1736502976
68,chainwire,Chainwire,https://resources.cryptocompare.com/news/68/default.png,https://app.chainwire.org/rss/website/Oif0bAWbBAgFRL39I0bICogg9ck3LMWYRw3iieNW,EN,RSS,,0,0,ACTIVE,1759310795,1673520685,1673520719
1,cryptocompare,CryptoCompare,https://images.cryptocompare.com/news/default/cryptocompare.png,https://www.cryptocompare.com/api/external/newsletter/,EN,RSS,,0,0,ACTIVE,1759310785,1657730129,1673259116
