Type,ID,SOURCE_KEY,NAME,URL,SOURCE_TYPE,ENDPOINT,STATUS
CATEGORY,7,N/A,ATOM,N/A,122,NULL,ACTIVE
CATEGORY,8,N/A,AVAX,N/A,122,NULL,ACTIVE
CATEGORY,193,N/A,AXL,N/A,122,NULL,ACTIVE
CATEGORY,9,N/A,AXS,N/A,122,NULL,ACTIVE
CATEGORY,10,N/A,BAL,N/A,122,NULL,ACTIVE
CATEGORY,11,N/A,BAT,N/A,122,NULL,ACTIVE
CATEGORY,12,N/A,BCH,N/A,122,NULL,ACTIVE
CATEGORY,129,N/A,BEAM,N/A,122,NULL,ACTIVE
CATEGORY,109,N/A,BGB,N/A,122,NULL,ACTIVE
CATEGORY,73,N/A,BITTENSOR,N/A,122,NULL,ACTIVE
CATEGORY,13,N/A,BLOCKCHAIN,N/A,122,NULL,ACTIVE
CATEGORY,189,N/A,BLUR,N/A,122,NULL,ACTIVE
CATEGORY,74,N/A,BNB,N/A,122,NULL,ACTIVE
CATEGORY,201,N/A,BNX,N/A,122,NULL,ACTIVE
CATEGORY,165,N/A,BOME,N/A,122,NULL,ACTIVE
CATEGORY,113,N/A,BONK,N/A,122,NULL,ACTIVE
CATEGORY,114,N/A,BRETT,N/A,122,NULL,ACTIVE
CATEGORY,134,N/A,BSV,N/A,122,NULL,ACTIVE
CATEGORY,14,N/A,BTC,N/A,122,NULL,ACTIVE
CATEGORY,182,N/A,BTG,N/A,122,NULL,ACTIVE
CATEGORY,137,N/A,BTT,N/A,122,NULL,ACTIVE
CATEGORY,15,N/A,BUSINESS,N/A,122,NULL,ACTIVE
CATEGORY,167,N/A,CAKE,N/A,122,NULL,ACTIVE
CATEGORY,158,N/A,CFX,N/A,122,NULL,ACTIVE
CATEGORY,154,N/A,CHZ,N/A,122,NULL,ACTIVE
CATEGORY,180,N/A,CKB,N/A,122,NULL,ACTIVE
CATEGORY,16,N/A,COMMODITY,N/A,122,NULL,ACTIVE
CATEGORY,17,N/A,COMP,N/A,122,NULL,ACTIVE
CATEGORY,119,N/A,CORE,N/A,122,NULL,ACTIVE
CATEGORY,75,N/A,CRO,N/A,122,NULL,ACTIVE
CATEGORY,18,N/A,CRV,N/A,122,NULL,ACTIVE
CATEGORY,211,N/A,CRYPTOCURRENCY,N/A,122,NULL,ACTIVE
CATEGORY,76,N/A,DAI,N/A,122,NULL,ACTIVE
CATEGORY,19,N/A,DASH,N/A,122,NULL,ACTIVE
CATEGORY,209,N/A,DIGITAL ASSET TREASURY,N/A,122,NULL,ACTIVE
CATEGORY,20,N/A,DOGE,N/A,122,NULL,ACTIVE
CATEGORY,21,N/A,DOT,N/A,122,NULL,ACTIVE
CATEGORY,133,N/A,DYDX,N/A,122,NULL,ACTIVE
CATEGORY,140,N/A,EGLD,N/A,122,NULL,ACTIVE
CATEGORY,124,N/A,ENA,N/A,122,NULL,ACTIVE
CATEGORY,22,N/A,ENJ,N/A,122,NULL,ACTIVE
CATEGORY,139,N/A,ENS,N/A,122,NULL,ACTIVE
CATEGORY,23,N/A,ETC,N/A,122,NULL,ACTIVE
CATEGORY,24,N/A,ETH,N/A,122,NULL,ACTIVE
CATEGORY,202,N/A,ETHFI,N/A,122,NULL,ACTIVE
CATEGORY,25,N/A,EXCHANGE,N/A,122,NULL,ACTIVE
CATEGORY,80,N/A,FDUSD,N/A,122,NULL,ACTIVE
CATEGORY,116,N/A,FET,N/A,122,NULL,ACTIVE
CATEGORY,26,N/A,FIAT,N/A,122,NULL,ACTIVE
CATEGORY,27,N/A,FIL,N/A,122,NULL,ACTIVE
CATEGORY,107,N/A,FLOKI,N/A,122,NULL,ACTIVE
CATEGORY,125,N/A,FLOW,N/A,122,NULL,ACTIVE
CATEGORY,122,N/A,FLR,N/A,122,NULL,ACTIVE
CATEGORY,206,N/A,FORKS,N/A,122,NULL,ACTIVE
CATEGORY,28,N/A,FTM,N/A,122,NULL,ACTIVE
CATEGORY,179,N/A,FTT,N/A,122,NULL,ACTIVE
CATEGORY,131,N/A,GALA,N/A,122,NULL,ACTIVE
CATEGORY,136,N/A,GMO,N/A,122,NULL,ACTIVE
CATEGORY,97,N/A,GRT,N/A,122,NULL,ACTIVE
CATEGORY,149,N/A,GT,N/A,122,NULL,ACTIVE
CATEGORY,81,N/A,HBAR,N/A,122,NULL,ACTIVE
CATEGORY,172,N/A,HNT,N/A,122,NULL,ACTIVE
CATEGORY,82,N/A,ICP,N/A,122,NULL,ACTIVE
CATEGORY,83,N/A,IMX,N/A,122,NULL,ACTIVE
CATEGORY,84,N/A,INJ,N/A,122,NULL,ACTIVE
CATEGORY,166,N/A,IOTA,N/A,122,NULL,ACTIVE
CATEGORY,200,N/A,IOTX,N/A,122,NULL,ACTIVE
CATEGORY,112,N/A,JASMY,N/A,122,NULL,ACTIVE
CATEGORY,123,N/A,JUP,N/A,122,NULL,ACTIVE
CATEGORY,85,N/A,KASPA,N/A,122,NULL,ACTIVE
CATEGORY,175,N/A,KAVA,N/A,122,NULL,ACTIVE
CATEGORY,168,N/A,KLAY,N/A,122,NULL,ACTIVE
CATEGORY,30,N/A,KNC,N/A,122,NULL,ACTIVE
CATEGORY,127,N/A,KSC,N/A,122,NULL,ACTIVE
CATEGORY,86,N/A,LDO,N/A,122,NULL,ACTIVE
CATEGORY,99,N/A,LEO,N/A,122,NULL,ACTIVE
CATEGORY,31,N/A,LINK,N/A,122,NULL,ACTIVE
CATEGORY,171,N/A,LPT,N/A,122,NULL,ACTIVE
CATEGORY,32,N/A,LRC,N/A,122,NULL,ACTIVE
CATEGORY,33,N/A,LTC,N/A,122,NULL,ACTIVE
CATEGORY,34,N/A,LUNA,N/A,122,NULL,ACTIVE
CATEGORY,35,N/A,LUNC,N/A,122,NULL,ACTIVE
CATEGORY,210,N/A,MACROECONOMICS,N/A,122,NULL,ACTIVE
CATEGORY,36,N/A,MANA,N/A,122,NULL,ACTIVE
CATEGORY,37,N/A,MARKET,N/A,122,NULL,ACTIVE
CATEGORY,38,N/A,MATIC,N/A,122,NULL,ACTIVE
CATEGORY,195,N/A,MEME,N/A,122,NULL,ACTIVE
CATEGORY,157,N/A,MINA,N/A,122,NULL,ACTIVE
CATEGORY,39,N/A,MINING,N/A,122,NULL,ACTIVE
CATEGORY,40,N/A,MKR,N/A,122,NULL,ACTIVE
CATEGORY,88,N/A,MNT,N/A,122,NULL,ACTIVE
CATEGORY,185,N/A,MOG,N/A,122,NULL,ACTIVE
CATEGORY,203,N/A,MX,N/A,122,NULL,ACTIVE
CATEGORY,89,N/A,NEAR,N/A,122,NULL,ACTIVE
CATEGORY,141,N/A,NEO,N/A,122,NULL,ACTIVE
